year	uid	title	author	presenter	country	affiliation
2016	231	Predictive clustering using a component-based approach	Michio Yamamoto	1	Japan	Kyoto University
2016	231	Predictive clustering using a component-based approach	Atsushi Kawaguchi	0	Japan	Saga University
2016	231	Predictive clustering using a component-based approach	Heungsun Hwang	0	Canada	McGill University
2016	234	Integrating multiple random sketches of singular value decomposition	Su-Yun Huang	1	Taiwan	Academia Sinica
2016	261	Canonical covariance analysis for three-mode three-way data by using connector matrix	Jun Tsuchida	1	Japan	Doshisha University
2016	261	Canonical covariance analysis for three-mode three-way data by using connector matrix	Hiroshi Yadohisa	0	Japan	Doshisha University
2016	304	Acceleration of iterative methods for nonnegative matrix factorization	Michio Sakakihara	1	Japan	Okayama University of Science
2016	304	Acceleration of iterative methods for nonnegative matrix factorization	Masahiro Kuroda	0	Japan	Okayama University of Science
2016	304	Acceleration of iterative methods for nonnegative matrix factorization	Yuichi Mori	0	Japan	Okayama University of Science
2016	304	Acceleration of iterative methods for nonnegative matrix factorization	Masaya Iizuka	0	Japan	Okayama University
2016	227	Some mathematical notes on comprehensive factor analysis	Kohei Adachi	1	Japan	Osaka University
2016	227	Some mathematical notes on comprehensive factor analysis	Nickolay Trendafilov	0	United Kingdom	Open University
2016	218	Analysis of a fixed center effect additive rates model for recurrent event data	Haijin He	1	China	Shenzhen University
2016	218	Analysis of a fixed center effect additive rates model for recurrent event data	Deng Pan	0	China	Huazhong University of Science and Technology
2016	218	Analysis of a fixed center effect additive rates model for recurrent event data	Liang Zhu	0	United States	St Jude Childrens Research Hospital
2016	218	Analysis of a fixed center effect additive rates model for recurrent event data	Liuquan Sun	0	China	Chinese Academy of Sciences
2016	218	Analysis of a fixed center effect additive rates model for recurrent event data	Xinyuan Song	0	Hong Kong	Chinese University of Hong Kong
2016	245	Analysis of proportional mean residual life model with latent variables	Xinyuan Song	1	Hong Kong	Chinese University of Hong Kong
2016	243	Bayesian semi-parametric mixed hidden Markov models	Kai Kang	1	Hong Kong	The Chinese University of Hong Kong
2016	244	Bayesian local influence of transformation latent variable models with multivariate censored data	Ming Ouyang	1	China	The Chinese University of HongKong
2016	225	A relative error-based approach for variable selection	Meiling Hao	1	Hong Kong	The Hong Kong Polytechnic University
2016	225	A relative error-based approach for variable selection	Xingqiu Zhao	0	China	The Hong Kong Polytechnic University Shenzhen Research Institute
2016	225	A relative error-based approach for variable selection	Yuanyuan Lin	0	Hong Kong	The Chinese University of Hong Kong
