affiliation	lon	lat	city
Yokohama City University, Yokohama, Japan	139.64268	35.44683	Yokohama
Eli Lilly and Company, Indianapolis, US	-86.08079	39.66061	INDIANAPOLIS
Eli Lilly Japan K. K, Kobe, Japan	139.79693	35.71053	Japan
Nagoya University, Nagoya, Japan	139.79693	35.71053	Japan
Erasmus University Rotterdam, Rotterdam, the Netherlands	4.48313	51.93082	Rotterdam
Universita degli studi di Napoli Frederico II, Naples, Italy	14.24087	40.854	Napoli
Democritus University of Thrace, Xanthi, Greece	23.0829	40.80838	Greece
LMO, Univ. Paris-Sud, Paris-Saclay, Orsay, France	2.17151	48.71191	Orsay
CNAM, Paris, France	2.34397	48.86978	Paris
MAP5, Univ. Paris Descartes, Paris, France	2.34907	48.84519	Paris
National Taipei University, New Taipei City, Taiwan	121.77147	24.98647	Taiwan
Academia Sinica, Taipei, Taiwan	121.61698	25.04243	Taipei
Chung-Ang University, Seoul, Korea	126.99303	37.59437	Seoul
Seoul National University, Seoul, Korea	126.93783	37.55117	Seoul
Institute of Sta tistical Science, Academia Sinica, Taipei, Taiwan	121.54052	25.01419	Taipei
Chuo University, Tokyo, Japan	139.29477	34.22558	Japan
The Institute of Statistical Mathematics, Tokyo, Japan	139.29477	34.22558	Japan
Tokushima Bunri University, Kagawa, Japan	134.34057	33.8486	Japan
Shiga University, Hikone, Japan	136.10949	35.24703	Japan
Prefectural University of Hiroshima, Hiroshima, Japan	132.77518	34.55603	Japan
Hiroshima University, Hiroshima, Japan	132.77518	34.55603	Japan
Hokkaido University, Sapporo, Japan	142.95145	43.43395	Japan
Graduate school of Tokai University, Kanagawa, Japan	139.35785	35.315	Japan
Tokai University, Kanagawa, Japan	139.35785	35.315	Japan
Oita University, Oita, Japan	131.68873	33.11227	Japan
Chuo University, Bunkyo, Tokyo, Japan	139.74347	35.71768	Tokyo
Waseda University, Shinjuku, Tokyo, Japan	139.71563	35.70161	Tokyo
Osaka University, Toyonaka, JPN	135.44191	34.79139	Toyonaka
National Taiwan University, Taipei, Taiwan	121.53847	25.00758	Taipei
Doshisha University, Kyoto, Japan	135.77068	35.00497	Kyoto
Wakayama Medical University, Wakayama, Japan	135.4048	33.81349	Japan
Osaka University, Suita-shi, Japan	135.49995	34.66145	Japan
Department of Statistics, National Cheng Kung University, Tainan, Taiwan	120.2258	23.02513	Tainan
Institute of Statistical Sciences, Academia Sinica, Taipei 115, Taiwan,	121.61629	25.05293	Taipei
Institute of Chemistry, Academia Sinica, Taipei 115, Taiwan	121.61629	25.05293	Taipei
Osaka University, Osaka, Japan	135.49995	34.66145	Japan
Okayama University of Science, Okayama, Japan	133.84743	34.80237	Japan
Okayama University, Okayama, Japan	133.84743	34.80237	Japan
Ph.D Candidate in Department of Mathematics, Gadjah Mada University, Yogyakarta, Indonesia	110.36723	-7.97784	Indonesia
Department of Mathematics, Gadjah Mada University, Yogyakarta, Indonesia	110.36723	-7.97784	Indonesia
Department of Mathematics, Gadjah Mada University, Indonesia	116.43251	-0.3586	Indonesia
Department of Mathematics, Universitas Jambi, Indonesia	102.94368	-1.63958	Indonesia
Department of Computer Science, Gadjah Mada University, Indonesia	116.43251	-0.3586	Indonesia
Department of Statistics, National Cheng-Kung University, Taiwan	121.60407	25.09817	Taiwan
Kwansei Gakuin University, Sanda, Japan	139.79693	35.71053	Japan
Student, Department of Mathematics, Airlangga University, Surabaya, Indonesia	112.75582	-7.27226	Surabaya
Department of Mathematics, Airlangga University, Surabaya, Indonesia	112.75582	-7.27226	Surabaya
Universitas Gadjah Mada, Yogyakarta, Indonesia	110.37328	-7.79943	yogyakarta
Department of Statistics, National ChengChi University, Taipei, Taiwan	121.51493	25.03645	Taipei
Government Statistical Training Center, Jakarta, Indonesia	106.88737	-6.22039	Jakarta
STIS 57 Social Division, Jakarta, Indonesia	106.65433	-5.65434	Indonesia
STIS 55 Social Division, Jakarta, Indonesia	106.65433	-5.65434	Indonesia
STIS 53 Economic Division, Jakarta, Indonesia	106.65433	-5.65434	Indonesia
STIS 46 Computer Division, Jakarta, Indonesia	106.65433	-5.65434	Indonesia
Graduate School of Comprehensive Human Science, University of Tsukuba, Ibaraki, Japan	140.39843	36.34205	Japan
Ph.D Candidate, Department of Mathematics, Gadjah Mada University, Yogyakarta, Indonesia	110.36723	-7.97784	Indonesia
Department of Statistics, Tamkang University, New Taipei, Taiwan	121.51493	25.03645	Taipei
Department of Applied Mathematics, Feng Chia University, Taichung, Taiwan	120.64421	24.18695	Taichung
Toyohashi University of Technology, Toyohashi, Japan	137.38744	34.79178	Toyohashi
Institute of Epidemiology and Preventive Medicine, National Taiwan University, Taiwan	121.60407	25.09817	Taiwan
Institute of Statistics, Hsinchu, Taiwa	120.98761	24.79999	Hsinchu
Gadjah Mada University, Yogyakarta, Indonesia	110.37328	-7.79943	yogyakarta
Hankuk Univ. of Foreign Studies, Yongin, Korea	127.0895	37.31347	Yongin
Tokyo University of Science, Katsushika-ku, Japan	139.29477	34.22558	Japan
Teikyo university, Utsunomiya, Japan	139.91394	36.55119	Utsunomiya-shi
Statistics Indonesia, Jakarta, Indonesia	106.82298	-6.18259	Jakarta
Polytechnics of Statistics STIS, Jakarta, Indonesia	106.65433	-5.65434	Indonesia
Institute of Statistical Science, Academia Sinica, Taipei, Taiwan	121.54052	25.01419	Taipei
Department of Applied Mathematics, National Sun Yat-sen University, Kaohsiung, Taiwan	120.3697	22.57338	KHH
National Tsing Hua University, Hsinchu, Taiwan	120.98082	24.79548	Hsinchu
University of Tsukuba, Tsukuba, Japan	139.79693	35.71053	Japan
Diponegoro University, Semarang, Indonesia	110.41281	-7.00746	Semarang
Department of Mathematics UGM, Yogyakarta, Indonesia	110.36723	-7.97784	Indonesia
Kanazawa univeristy, Kanazawa, Japan	136.61985	36.58757	Kanazawa
Graduate School of Mathematics Kyushu University, Fukuoka, Japan	130.42169	33.6273	Fukuoka
Faculty of Science and Engineering Chuo University, Tokyo, Japan	139.29477	34.22558	Japan
Wakayama medical university hospital, Wakayama, Japan	135.4048	33.81349	Japan
Oita university, Oita, Japan	131.68873	33.11227	Japan
Biostatistical research association, Toyonaka, Japan	139.79693	35.71053	Japan
